,corex_topic_1,corex_topic_2,corex_topic_3,corex_topic_4,corex_topic_5,corex_topic_6,corex_topic_7,corex_topic_8,corex_topic_9,corex_topic_10,target
0,0.00967999951167691,0.02005915703730653,0.041302401377882894,0.13333477875756203,0.10451815135556246,0.10825036698035785,0.10719104105433881,0.036410061613562764,0.21111395828852625,0.2281400840232234,chat_logs
1,0.012524226714000929,0.025953041642607814,0.053438085203843334,0.15913235515554103,0.13522821170841906,0.1400570315327918,0.13868646359203704,0.039755726331337414,5.148601832543093e-05,0.2951733721010961,pirates
2,0.13188522839784947,0.018469926439227843,0.038014679492669845,0.12275200247489355,0.09612566492119677,0.099854314601485,0.09816415394269712,0.18394733681845496,0.0003425187257244518,0.21044417418580108,chat_logs
3,0.010474740355465202,0.02170609060872507,0.04469352434350401,0.00016926299496617498,0.1130150430957171,0.007531133873366217,0.11640580303401082,0.2143123063891942,0.2248500655869329,0.2468420297181183,chat_logs
4,0.0005135993184892068,0.0010642912170031737,0.7222043768704968,0.00706986463542809,0.22395384475022373,0.005737218409909159,0.005682784304434281,0.010567864333997179,0.01113527720310776,0.012070878956910664,pirates
5,0.011881206484408413,0.024620438353910014,0.050693023235115736,1.670675942707441e-05,0.12793504572391418,0.13264432647274332,0.13094556636142712,0.24460248846879257,1.670675942707441e-05,0.27664449138083436,pirates
6,0.0006646720865607155,0.0013773514912426238,0.002836007715773866,0.009155362611474616,0.0071766840095507005,0.007432954578839737,0.007360216531866912,0.013707452549008238,0.9346241775524685,0.015665120873213832,chat_logs
7,0.0006672680231575019,0.0013827308613335563,0.002847083998902319,0.009191119703299302,0.9382720627002642,0.007461984713317864,0.007388962569496109,0.0025098420518112575,0.014552644701916001,0.015726300676501943,chat_logs
8,0.9036503579027614,0.0013316499234202043,0.022809173756187053,0.008751482540305215,0.006926696030634697,0.007126234352025964,0.007104243632902439,0.0132098426444804,0.01394346574082742,0.015146853476455183,pirates
9,0.00023087814632945182,0.32464769056009357,0.010192591133772109,0.0031821114107249207,0.0025740291177677186,0.0025810200414241665,0.0025463795778902626,0.004749918891810727,0.32464769056009357,0.32464769056009357,chat_logs
10,0.47106795614910923,0.000693953632485737,0.001428064809873023,0.47106795614910923,0.0035920829961036617,0.003711205640235632,0.026990138551602524,0.0069314216934560115,0.007053932523060419,0.007463287854964445,chat_logs
11,0.003337441057218994,0.006915935707305911,0.014240117466328807,4.69292495586743e-06,0.03603545321855651,0.402896116889201,0.31629790953079295,0.06882764836164415,0.0727872342627207,0.07865745058127513,pirates
12,0.0006334613543228807,0.0013126718269394007,0.0027037107963975536,0.008719805154745734,0.8907499410566433,0.007076149838938939,0.04714825980976514,0.01303415144564718,0.013733937810672376,0.014887910905927526,pirates
13,0.0006602444080288211,0.001368138901553595,0.002817181028809372,0.00905793946806485,0.007128841536301006,0.007353944918045243,0.9284531065594748,0.013523294606055962,0.014181615471057177,0.015455693102609169,pirates
