iter	RMSE
151	0.3285013171
152	0.3285013169
153	0.3285013167
154	0.3285013165
155	0.3285013163
156	0.3285013162
157	0.3285013161
158	0.3285013159
159	0.3285013158
160	0.3285013157
161	0.3285013156
162	0.3285013156
163	0.3285013155
164	0.3285013154
165	0.3285013154
166	0.3285013153
167	0.3285013153
168	0.3285013152
169	0.3285013152
170	0.3285013152
171	0.3285013151
172	0.3285013151
173	0.3285013151
174	0.328501315
175	0.328501315
176	0.328501315
177	0.328501315
178	0.328501315
179	0.328501315
180	0.328501315
181	0.3285013149
182	0.3285013149
183	0.3285013149
184	0.3285013149
185	0.3285013149
186	0.3285013149
187	0.3285013149
188	0.3285013149
189	0.3285013149
190	0.3285013149
191	0.3285013149
192	0.3285013149
193	0.3285013149
194	0.3285013149
195	0.3285013149
196	0.3285013149
197	0.3285013149
198	0.3285013149
199	0.3285013149
200	0.3285013149
201	0.3285013149
202	0.3285013149
203	0.3285013149
204	0.3285013149
205	0.3285013149
206	0.3285013149
207	0.3285013149
208	0.3285013149
209	0.3285013149
210	0.3285013149
211	0.3285013149
212	0.3285013149
213	0.3285013149
214	0.3285013149
215	0.3285013149
216	0.3285013149
217	0.3285013149
218	0.3285013149
219	0.3285013149
220	0.3285013149
221	0.3285013148
222	0.3285013148
223	0.3285013148
224	0.3285013148
225	0.3285013148
226	0.3285013148
227	0.3285013148
228	0.3285013148
229	0.3285013148
230	0.3285013148
231	0.3285013148
232	0.3285013148
233	0.3285013148
234	0.3285013148
235	0.3285013148
236	0.3285013148
237	0.3285013148
238	0.3285013148
239	0.3285013148
240	0.3285013148
241	0.3285013148
242	0.3285013148
243	0.3285013148
244	0.3285013148
245	0.3285013148
246	0.3285013148
247	0.3285013148
248	0.3285013148
249	0.3285013148
250	0.3285013148
251	0.3285013148
252	0.3285013148
253	0.3285013148
254	0.3285013148
255	0.3285013148
256	0.3285013148
257	0.3285013148
258	0.3285013148
259	0.3285013148
260	0.3285013148
261	0.3285013148
262	0.3285013148
263	0.3285013148
264	0.3285013148
265	0.3285013148
266	0.3285013148
267	0.3285013148
268	0.3285013148
269	0.3285013148
270	0.3285013148
271	0.3285013148
272	0.3285013148
273	0.3285013148
274	0.3285013148
275	0.3285013148
276	0.3285013148
277	0.3285013148
278	0.3285013148
279	0.3285013148
280	0.3285013148
281	0.3285013148
282	0.3285013148
283	0.3285013148
284	0.3285013148
285	0.3285013148
286	0.3285013148
287	0.3285013148
288	0.3285013148
289	0.3285013148
290	0.3285013148
291	0.3285013148
292	0.3285013148
293	0.3285013148
294	0.3285013148
295	0.3285013148
296	0.3285013148
297	0.3285013148
298	0.3285013148
299	0.3285013148
300	0.3285013148
301	0.3285013148
302	0.3285013148
303	0.3285013148
304	0.3285013148
305	0.3285013148
306	0.3285013148
307	0.3285013148
308	0.3285013148
309	0.3285013148
310	0.3285013148
311	0.3285013148
312	0.3285013148
313	0.3285013148
314	0.3285013148
315	0.3285013148
316	0.3285013148
317	0.3285013148
318	0.3285013148
319	0.3285013148
320	0.3285013148
321	0.3285013148
322	0.3285013148
323	0.3285013148
324	0.3285013148
325	0.3285013148
326	0.3285013148
327	0.3285013148
328	0.3285013148
329	0.3285013148
330	0.3285013148
331	0.3285013148
332	0.3285013148
333	0.3285013148
334	0.3285013148
335	0.3285013148
336	0.3285013148
337	0.3285013148
338	0.3285013148
339	0.3285013148
340	0.3285013148
341	0.3285013148
342	0.3285013148
343	0.3285013148
344	0.3285013148
345	0.3285013148
346	0.3285013148
347	0.3285013148
348	0.3285013148
349	0.3285013148
350	0.3285013148
351	0.3285013148
352	0.3285013148
353	0.3285013148
354	0.3285013148
355	0.3285013148
356	0.3285013148
357	0.3285013148
358	0.3285013148
359	0.3285013148
360	0.3285013148
361	0.3285013148
362	0.3285013148
363	0.3285013148
364	0.3285013148
365	0.3285013148
366	0.3285013148
367	0.3285013148
368	0.3285013148
369	0.3285013148
370	0.3285013148
371	0.3285013148
372	0.3285013148
373	0.3285013148
374	0.3285013148
375	0.3285013148
376	0.3285013148
377	0.3285013148
378	0.3285013148
379	0.3285013148
380	0.3285013148
381	0.3285013148
382	0.3285013148
383	0.3285013148
384	0.3285013148
385	0.3285013148
386	0.3285013148
387	0.3285013148
388	0.3285013148
389	0.3285013148
390	0.3285013148
391	0.3285013148
392	0.3285013148
393	0.3285013148
394	0.3285013148
395	0.3285013148
396	0.3285013148
397	0.3285013148
398	0.3285013148
399	0.3285013148
400	0.3285013148
401	0.3285013148
402	0.3285013148
403	0.3285013148
404	0.3285013148
405	0.3285013148
406	0.3285013148
407	0.3285013148
408	0.3285013148
409	0.3285013148
410	0.3285013148
411	0.3285013148
412	0.3285013148
413	0.3285013148
414	0.3285013148
415	0.3285013148
416	0.3285013148
417	0.3285013148
418	0.3285013148
419	0.3285013148
420	0.3285013148
421	0.3285013148
422	0.3285013148
423	0.3285013148
424	0.3285013148
425	0.3285013148
426	0.3285013148
427	0.3285013148
428	0.3285013148
429	0.3285013148
430	0.3285013148
431	0.3285013148
432	0.3285013148
433	0.3285013148
434	0.3285013148
435	0.3285013148
436	0.3285013148
437	0.3285013148
438	0.3285013148
439	0.3285013148
440	0.3285013148
441	0.3285013148
442	0.3285013148
443	0.3285013148
444	0.3285013148
445	0.3285013148
446	0.3285013148
447	0.3285013148
448	0.3285013148
449	0.3285013148
450	0.3285013148
451	0.3285013148
452	0.3285013148
453	0.3285013148
454	0.3285013148
455	0.3285013148
456	0.3285013148
457	0.3285013148
458	0.3285013148
459	0.3285013148
460	0.3285013148
461	0.3285013148
462	0.3285013148
463	0.3285013148
464	0.3285013148
465	0.3285013148
466	0.3285013148
467	0.3285013148
468	0.3285013148
469	0.3285013148
470	0.3285013148
471	0.3285013148
472	0.3285013148
473	0.3285013148
474	0.3285013148
475	0.3285013148
476	0.3285013148
477	0.3285013148
478	0.3285013148
479	0.3285013148
480	0.3285013148
481	0.3285013148
482	0.3285013148
483	0.3285013148
484	0.3285013148
485	0.3285013148
486	0.3285013148
487	0.3285013148
488	0.3285013148
489	0.3285013148
490	0.3285013148
491	0.3285013148
492	0.3285013148
493	0.3285013148
494	0.3285013148
495	0.3285013148
496	0.3285013148
497	0.3285013148
498	0.3285013148
499	0.3285013148
500	0.3285013148
501	0.3285013148
502	0.3285013148
503	0.3285013148
504	0.3285013148
505	0.3285013148
506	0.3285013148
507	0.3285013148
508	0.3285013148
509	0.3285013148
510	0.3285013148
511	0.3285013148
512	0.3285013148
513	0.3285013148
514	0.3285013148
515	0.3285013148
516	0.3285013148
517	0.3285013148
518	0.3285013148
519	0.3285013148
520	0.3285013148
521	0.3285013148
522	0.3285013148
523	0.3285013148
524	0.3285013148
525	0.3285013148
526	0.3285013148
527	0.3285013148
528	0.3285013148
529	0.3285013148
530	0.3285013148
531	0.3285013148
532	0.3285013148
533	0.3285013148
534	0.3285013148
535	0.3285013148
536	0.3285013148
537	0.3285013148
538	0.3285013148
539	0.3285013148
540	0.3285013148
541	0.3285013148
542	0.3285013148
543	0.3285013148
544	0.3285013148
545	0.3285013148
546	0.3285013148
547	0.3285013148
548	0.3285013148
549	0.3285013148
550	0.3285013148
551	0.3285013148
552	0.3285013148
553	0.3285013148
554	0.3285013148
555	0.3285013148
556	0.3285013148
557	0.3285013148
558	0.3285013148
559	0.3285013148
560	0.3285013148
561	0.3285013148
562	0.3285013148
563	0.3285013148
564	0.3285013148
565	0.3285013148
566	0.3285013148
567	0.3285013148
568	0.3285013148
569	0.3285013148
570	0.3285013148
571	0.3285013148
572	0.3285013148
573	0.3285013148
574	0.3285013148
575	0.3285013148
576	0.3285013148
577	0.3285013148
578	0.3285013148
579	0.3285013148
580	0.3285013148
581	0.3285013148
582	0.3285013148
583	0.3285013148
584	0.3285013148
585	0.3285013148
586	0.3285013148
587	0.3285013148
588	0.3285013148
589	0.3285013148
590	0.3285013148
591	0.3285013148
592	0.3285013148
593	0.3285013148
594	0.3285013148
595	0.3285013148
596	0.3285013148
597	0.3285013148
598	0.3285013148
599	0.3285013148
600	0.3285013148
601	0.3285013148
602	0.3285013148
603	0.3285013148
604	0.3285013148
605	0.3285013148
606	0.3285013148
607	0.3285013148
608	0.3285013148
609	0.3285013148
610	0.3285013148
611	0.3285013148
612	0.3285013148
613	0.3285013148
614	0.3285013148
615	0.3285013148
616	0.3285013148
617	0.3285013148
618	0.3285013148
619	0.3285013148
620	0.3285013148
621	0.3285013148
622	0.3285013148
623	0.3285013148
624	0.3285013148
625	0.3285013148
626	0.3285013148
627	0.3285013148
628	0.3285013148
629	0.3285013148
630	0.3285013148
631	0.3285013148
632	0.3285013148
633	0.3285013148
634	0.3285013148
635	0.3285013148
636	0.3285013148
637	0.3285013148
638	0.3285013148
639	0.3285013148
640	0.3285013148
641	0.3285013148
642	0.3285013148
643	0.3285013148
644	0.3285013148
645	0.3285013148
646	0.3285013148
647	0.3285013148
648	0.3285013148
649	0.3285013148
650	0.3285013148
651	0.3285013148
652	0.3285013148
653	0.3285013148
654	0.3285013148
655	0.3285013148
656	0.3285013148
657	0.3285013148
658	0.3285013148
659	0.3285013148
660	0.3285013148
661	0.3285013148
662	0.3285013148
663	0.3285013148
664	0.3285013148
665	0.3285013148
666	0.3285013148
667	0.3285013148
668	0.3285013148
669	0.3285013148
670	0.3285013148
671	0.3285013148
672	0.3285013148
673	0.3285013148
674	0.3285013148
675	0.3285013148
676	0.3285013148
677	0.3285013148
678	0.3285013148
679	0.3285013148
680	0.3285013148
681	0.3285013148
682	0.3285013148
683	0.3285013148
684	0.3285013148
685	0.3285013148
686	0.3285013148
687	0.3285013148
688	0.3285013148
689	0.3285013148
690	0.3285013148
691	0.3285013148
692	0.3285013148
693	0.3285013148
694	0.3285013148
695	0.3285013148
696	0.3285013148
697	0.3285013148
698	0.3285013148
699	0.3285013148
700	0.3285013148
701	0.3285013148
702	0.3285013148
703	0.3285013148
704	0.3285013148
705	0.3285013148
706	0.3285013148
707	0.3285013148
708	0.3285013148
709	0.3285013148
710	0.3285013148
711	0.3285013148
712	0.3285013148
713	0.3285013148
714	0.3285013148
715	0.3285013148
716	0.3285013148
717	0.3285013148
718	0.3285013148
719	0.3285013148
720	0.3285013148
721	0.3285013148
722	0.3285013148
723	0.3285013148
724	0.3285013148
725	0.3285013148
726	0.3285013148
727	0.3285013148
728	0.3285013148
729	0.3285013148
730	0.3285013148
